id,address,version,token0,token1,fee,block_number,timestamp
5540,0x05d985f5732f1cbfc7b4df71f0a7a75756a22117,2,0x4200000000000000000000000000000000000006,0xc3b177d81cb6e925ddd819278caecf2b0ca55f1c,300,11913093,1710615533
5541,0x1e4ab1228d4aaeaccd50e06bb2abd5ac1e105bee,2,0x4200000000000000000000000000000000000006,0xa9bd3de3775537ddca0ffdaafd522c66b6cdc13d,300,11913136,1710615619
5542,0x26aed06c58ea74a7b1a145e10a6f56c378634086,2,0x4200000000000000000000000000000000000006,0xfc7f8f17214c91a4d6287b9692ffbff70956eb58,300,11913142,1710615631
5543,0xeb0db942e9b0fa01a060b071d8bf85d2161a79ce,2,0x4200000000000000000000000000000000000006,0xfc7f8f17214c91a4d6287b9692ffbff70956eb58,300,11913205,1710615757
5544,0xaec35112609de25abb1de7248b342abcff4ab7af,2,0x4200000000000000000000000000000000000006,0xef4301743c845b076da38cb2ef0fc8f8e37e72be,300,11913212,1710615771
5545,0xf713b97ee0b1a4c928b89859478b69320f5a84bb,2,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x900c68439f1bf296bbfe9c84486d9b30b7133da5,300,11913230,1710615807
5546,0x56fc36ac9401fc078332ca121d9a786fc64ba287,2,0x4200000000000000000000000000000000000006,0x49b36e1592a0bf0af8e0ac292e73f62f9ed2b154,300,11913295,1710615937
5547,0x88af4db0acf6f024307f6fdcfa38b70d96495b08,2,0x4200000000000000000000000000000000000006,0xf581e7233cd31ccff7f3798caa808ccf9d0824fc,300,11913344,1710616035
5548,0xdea6fd1c89fd3bbd8fab324a11e846e4ece4e416,2,0x34bd9fb9c763c4e5df557c77663cf5edd47552a0,0x4200000000000000000000000000000000000006,300,11913344,1710616035
5549,0x17dd959fedd7bd7348b119b2ece98482a6275eb6,2,0x4200000000000000000000000000000000000006,0xd116d28b2c10e5981ebc5bf2fef24064679bfc56,300,11913436,1710616219
5550,0xeaf9b996d5dd21ddcc19065acf858ab36c2c9b79,2,0x4200000000000000000000000000000000000006,0xcacea77c9ec27b2c0f29244e34e6a201ba9678cf,300,11913441,1710616229
5551,0xe523a51eeccac605bc8e81d32574e994ccd93345,2,0x4200000000000000000000000000000000000006,0xaf0fbb23e1d825d08dfb1b95adcc8dc3f21d4bd7,300,11913466,1710616279
5552,0x63cc4192adf96b1c8c51f3a2853911df6459684d,2,0x4200000000000000000000000000000000000006,0x4501e88444ad18cb393523522a6d358448cdc5a3,300,11913523,1710616393
5553,0x1a9fd9e3031e3115f4eb0e9ad8eb12923d80e08b,2,0x4200000000000000000000000000000000000006,0x4ab52938ace8333299e69eeae1741b8bcca1e5ad,300,11913550,1710616447
5554,0x46e11901cea682b45d84652428b26655c8b66d4e,2,0x406a582c50cb4b509572b319280ee07268fdc55e,0x4200000000000000000000000000000000000006,300,11913560,1710616467
5555,0x9fc0b8a40b2508e9874c08ab58983887d0ed581d,2,0x4200000000000000000000000000000000000006,0x98537d28cbdc150bab5fafca6a7a017cb2a95738,300,11913703,1710616753
5556,0x4ffb2f0d461e14d12a64dd7ddfb9d8bdc43d21eb,2,0x4200000000000000000000000000000000000006,0xb7ba6b8248ed2869e7cd1633566a1360386cdffc,300,11913777,1710616901
